Table of values for decimal tetration:

y               10^^y              
-----------------------------------
-2              -00                
-1              0                  
0               1                  
1               10                 
1.39233         100                
1.58            1000               
1.70            10000              
1.79            1e5                
1.85            1e6                
1.90            1e7                
1.939           1e8                
1.9723          1e9                
2               1e10               
2.39233         Googol             
3               1e10000000000      
3.39233         GoogolPlex         
4               Overflow           
