a0=   1.000000000000000000000000000000000000000000000000000000000000000
a1=   1.091767351258320991801384550027151644384731177193748032852736750
a2=   0.2714832129016945953317066836235490061739872161990598817820694029
a3=   0.2124532481762562843089676377409482685666305767555868534429427250
a4=   0.06954037613998737372867423270746944766611954537384154515961000453
a5=   0.04429195209047330440644034438551461331201912452396122603445409319
a6=   0.01473674209638939115209628691553407087036283284802524310071901416
a7=   0.008668781817225260366380392529639960019193562974233192587504340111
a8=   0.002796479398385459694825991301149597269227881323260081302040577605
a9=   0.001610631290584272072162645164026110049792896861436056957822790182
a10=  0.0004899272314843773346986672258324787189179236966986597429129832330
a11=  0.0002881810711540458113452640412964722721968311050442105340877181594
a12=  8.009461253854333344427358300999263618841918537261023130790163971 E-5
a13=  5.029114179380540369459011462420351199253676250298573251465345770 E-5
a14=  1.218379034490009161619171109859335192564698424745403501454238578 E-5
a15=  8.665533667381574685245804554105291695042724874461047071879364266 E-6
a16=  1.687782319317538991789009317583785512852144820496380916395175410 E-6
a17=  1.493253248573492581066504431732751485456118359869377142782801823 E-6
a18=  1.987607642049274553198189794968196417348167228423221823766208324 E-7
a19=  2.608673560043263731645821608532933364457829738518570518951024606 E-7
a20=  1.470995414254190186141218818247639464249470033298457423356614561 E-8
a21=  4.683449732741350625509370993006576850859342869408936466444524792 E-8
a22= -1.549241665546769521805465176448252112209562873661024180269457507 E-9
a23=  8.741510781350935912992558117122349583609707251224417742494146671 E-9
a24= -1.125787310103062317575134515738378022835159203164294437887013912 E-9
a25=  1.707959267270728412565608778729726960430408931538582375779657671 E-9
a26= -3.778583154922985176492143492500296036058409993500345462555706788 E-10
a27=  3.495778765110216317873145649935531461006488191616787742020048270 E-10
a28= -1.053770123445001506629425792917061970255456556066414419569954905 E-10
a29=  7.459097147607505280732283202189701957070179874063753558101492298 E-11
a30= -2.717598206577734869329877172492724299204938962536131010669232585 E-11
a31=  1.646076610661447130388508182175742339593708736967841194188534609 E-11
a32= -6.741873152405052999147453463677312005415532501572568628954528355 E-12
a33=  3.725328723319468544317086960688595471124134410671562760873856154 E-12
a34= -1.639087326793590223458207893420015494534981157084934821633501407 E-12
a35=  8.583638311358568060488665543255939724011799192373411667430082232 E-13
a36= -3.943738739105384313579489883439749145625771519735734916707887434 E-13
a37=  2.002523128021887055893526704591127887891070857821009841469871247 E-13
a38= -9.441962242924065023715111579990954292712006432497954994906181680 E-14
a39=  4.712054745849371340817414393412613311684787369946584047953747923 E-14
a40= -2.256291882035597080043272706155245325625189406689252330756140598 E-14
a41=  1.115468850616536996293093710617388942901924987321949989308212370 E-14
a42= -5.390745557016350491840931638954438791176540897408393683107878325 E-15
a43=  2.652158491516681872817207767927177972525297352287457538738181547 E-15
a44= -1.288910765544553681933994492897094530731798239089453278020411117 E-15
a45=  6.326678501956660453007840302627916831673424077807565078248992905 E-16
a46= -3.085457150492335988961833456292213681855982339566944062499323860 E-16
a47=  1.513176771782740527337006888790219839276363051364244797314660070 E-16
a48= -7.396534137094751433579658688811828771999777094874550406910401875 E-17
a49=  3.626987671054187604858900781140139207944144420079831370077284969 E-17
a50= -1.775725598676298403622157433145771025580236336491143423691998833 E-17
a51=  8.709879544396054644216187847273723532343829279009731814371190621 E-18
a52= -4.269289282339156322311235369711703332985224326873995666409269215 E-18
a53=  2.095044162575528110270707271710047732715299297962569955020425279 E-18
a54= -1.027883709282258792101512551665977860702273246084668663420628703 E-18
a55=  5.046824247438176461629463228342973276669090061957400597743525515 E-19
a56= -2.478050595821552304759308268057851431159467131543538213447822030 E-19
a57=  1.217394203039331646009323993543125208245611419932046980963533176 E-19
a58= -5.981648632303782947485566789252901875389559922819988884697541393 E-20
a59=  2.940264344513896261748193069655017265616156575476296512992981912 E-20
