# Re[x0], Im[x0], Re[y0], Im[y0], xk, yk, z=Derivative[yk][Derivative[xk][SuperExp][x0]][y0], Im[z], comment

# EGF: (1 + x)^^2
0x1,0x0,0x2,0x0,0x0,0x0,0x1,0x0," exact == A005727(0)"
0x1,0x0,0x2,0x0,0x1,0x0,0x1,0x0," exact == A005727(1)"
0x1,0x0,0x2,0x0,0x2,0x0,0x2,0x0," exact == A005727(2)"
0x1,0x0,0x2,0x0,0x3,0x0,0x3,0x0," exact == A005727(3)"
0x1,0x0,0x2,0x0,0x4,0x0,0x8,0x0," exact == A005727(4)"
0x1,0x0,0x2,0x0,0x5,0x0,0xa,0x0," exact == A005727(5)"
0x1,0x0,0x2,0x0,0x6,0x0,0x36,0x0," exact == A005727(6)"
0x1,0x0,0x2,0x0,0x7,0x0,-0x2a,0x0," exact == A005727(7)"
0x1,0x0,0x2,0x0,0x8,0x0,0x3b0,0x0," exact == A005727(8)"
0x1,0x0,0x2,0x0,0x9,0x0,-0x13f8,0x0," exact == A005727(9)"
0x1,0x0,0x2,0x0,0xa,0x0,0xb838,0x0," exact == A005727(10)"
0x1,0x0,0x2,0x0,0xb,0x0,-0x667b0,0x0," exact == A005727(11)"
0x1,0x0,0x2,0x0,0xc,0x0,0x419328,0x0," exact == A005727(12)"
0x1,0x0,0x2,0x0,0xd,0x0,-0x2d66d68,0x0," exact == A005727(13)"
0x1,0x0,0x2,0x0,0xe,0x0,0x224628f0,0x0," exact == A005727(14)"
0x1,0x0,0x2,0x0,0xf,0x0,-0x1bf0c03a8,0x0," exact == A005727(15)"

# EGF: (1 + x)^^3
0x1,0x0,0x3,0x0,0x0,0x0,0x?,0x0," exact == A179230(0)"
0x1,0x0,0x3,0x0,0x1,0x0,0x?,0x0," exact == A179230(1)"
0x1,0x0,0x3,0x0,0x2,0x0,0x?,0x0," exact == A179230(2)"
0x1,0x0,0x3,0x0,0x3,0x0,0x?,0x0," exact == A179230(3)"
0x1,0x0,0x3,0x0,0x4,0x0,0x?,0x0," exact == A179230(4)"
0x1,0x0,0x3,0x0,0x5,0x0,0x?,0x0," exact == A179230(5)"
0x1,0x0,0x3,0x0,0x6,0x0,0x?,0x0," exact == A179230(6)"
0x1,0x0,0x3,0x0,0x7,0x0,0x?,0x0," exact == A179230(7)"
0x1,0x0,0x3,0x0,0x8,0x0,0x?,0x0," exact == A179230(8)"
0x1,0x0,0x3,0x0,0x9,0x0,0x?,0x0," exact == A179230(9)"
0x1,0x0,0x3,0x0,0xa,0x0,0x?,0x0," exact == A179230(10)"
0x1,0x0,0x3,0x0,0xb,0x0,0x?,0x0," exact == A179230(11)"
0x1,0x0,0x3,0x0,0xc,0x0,0x?,0x0," exact == A179230(12)"
0x1,0x0,0x3,0x0,0xd,0x0,0x?,0x0," exact == A179230(13)"
0x1,0x0,0x3,0x0,0xe,0x0,0x?,0x0," exact == A179230(14)"
0x1,0x0,0x3,0x0,0xf,0x0,0x?,0x0," exact == A179230(15)"

# EGF: e^^(y - 1)
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x0,0x0,0x0, exact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x1,+0x1.17675d94e4829d49b7ddcd32eb3bp+0,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x2,-0x1.4bed9c3dc2c14d9c4cab1056e1bfp-1,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x3,+0x1.0c68975d1d0de2367c0f95034726p+1,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x4,-0x1.620fb2df73e635a7af32a4a24d50p+2,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x5,+0x1.81e3fb668dc789be6e534707af16p+4,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x6,-0x1.d856f3003b5b9a16fa1eccfb7572p+6,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x7,+0x1.6713eb9ad320f9193e30953ec8bep+9,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x8,-0x1.395cb582014207ccb312a8773327p+12,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0x9,+0x1.39ea8a8f6c3dfa743a4da703556fp+15,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0xa,-0x1.60fe3a19ad0535f255041f39ffbep+18,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,-0x1.0p+0,0x0,0x0,0xb,+0x1.b93c8a159465144ed182be76550bp+21,0x0, inexact
