# x0, imag(x0), y0, imag(y0), xk, yk, Derivative[yk][Derivative[xk][SuperExp][x0]][y0], imag(_), comment

0x1,0x0,0x2,0x0,0x0,0x0,0x1,0x0," exact == A005727(0)"
0x1,0x0,0x2,0x0,0x1,0x0,0x1,0x0," exact == A005727(1)"
0x1,0x0,0x2,0x0,0x2,0x0,0x2,0x0," exact == A005727(2)"
0x1,0x0,0x2,0x0,0x3,0x0,0x3,0x0," exact == A005727(3)"
0x1,0x0,0x2,0x0,0x4,0x0,0x8,0x0," exact == A005727(4)"
0x1,0x0,0x2,0x0,0x5,0x0,0xa,0x0," exact == A005727(5)"
0x1,0x0,0x2,0x0,0x6,0x0,0x36,0x0," exact == A005727(6)"
0x1,0x0,0x2,0x0,0x7,0x0,-0x2a,0x0," exact == A005727(7)"
0x1,0x0,0x2,0x0,0x8,0x0,0x3b0,0x0," exact == A005727(8)"
0x1,0x0,0x2,0x0,0x9,0x0,-0x13f8,0x0," exact == A005727(9)"
0x1,0x0,0x2,0x0,0xa,0x0,0xb838,0x0," exact == A005727(10)"
0x1,0x0,0x2,0x0,0xb,0x0,-0x667b0,0x0," exact == A005727(11)"
0x1,0x0,0x2,0x0,0xc,0x0,0x419328,0x0," exact == A005727(12)"
0x1,0x0,0x2,0x0,0xd,0x0,-0x2d66d68,0x0," exact == A005727(13)"
0x1,0x0,0x2,0x0,0xe,0x0,0x224628f0,0x0," exact == A005727(14)"
0x1,0x0,0x2,0x0,0xf,0x0,-0x1bf0c03a8,0x0," exact == A005727(15)"

0x1,0x0,0x3,0x0,0x0,0x0,0x?,0x0," exact == A179230(0)"
0x1,0x0,0x3,0x0,0x1,0x0,0x?,0x0," exact == A179230(1)"
0x1,0x0,0x3,0x0,0x2,0x0,0x?,0x0," exact == A179230(2)"
0x1,0x0,0x3,0x0,0x3,0x0,0x?,0x0," exact == A179230(3)"
0x1,0x0,0x3,0x0,0x4,0x0,0x?,0x0," exact == A179230(4)"
0x1,0x0,0x3,0x0,0x5,0x0,0x?,0x0," exact == A179230(5)"
0x1,0x0,0x3,0x0,0x6,0x0,0x?,0x0," exact == A179230(6)"
0x1,0x0,0x3,0x0,0x7,0x0,0x?,0x0," exact == A179230(7)"
0x1,0x0,0x3,0x0,0x8,0x0,0x?,0x0," exact == A179230(8)"
0x1,0x0,0x3,0x0,0x9,0x0,0x?,0x0," exact == A179230(9)"
0x1,0x0,0x3,0x0,0xa,0x0,0x?,0x0," exact == A179230(10)"
0x1,0x0,0x3,0x0,0xb,0x0,0x?,0x0," exact == A179230(11)"
0x1,0x0,0x3,0x0,0xc,0x0,0x?,0x0," exact == A179230(12)"
0x1,0x0,0x3,0x0,0xd,0x0,0x?,0x0," exact == A179230(13)"
0x1,0x0,0x3,0x0,0xe,0x0,0x?,0x0," exact == A179230(14)"
0x1,0x0,0x3,0x0,0xf,0x0,0x?,0x0," exact == A179230(15)"
