a0=  -1.000000000000000000000000000000000000000000000000000000000000000
a1=   0.9159460564995333939496726389103245624251099693130238101164689050
a2=   0.2493545986721730438790716694452762345364863731095156683265774933
a3=  -0.1104647597964313574660753302411340538865805162402284135858813794
a4=  -0.09393625509985870821754560605811611160519025554303153316401057485
a5=   0.01000323329323155626804583049525371873471634660478428137532243100
a6=   0.03589792159454311061895077663291550670901336999643554392486164556
a7=   0.006573401099605068986123045699089486887106941498682525302862835735
a8=  -0.01230685951818438839069882611796003827092672047113318028523492050
a9=  -0.006389802569157469160282784291214954351494203550858537178812008155
a10=  0.003273589822817257168293449624851619325351118650559910866030337613
a11=  0.003769202952828280976849172205788860798064247036951157662426553511
a12= -0.0002802170195369747161265030066162394066552452449489199374378713351
a13= -0.001775106557196463545291075047865575871288934032739727517274141841
a14= -0.0004279699575246648949954407414019259640095674287707974785067084162
a15=  0.0006797232612443379991512230776367053273000265176472749951689028794
a16=  0.0004127926181657687634475684755097863155308656850055450405456504865
a17= -0.0001865977837752200721622759742817953946632681955164827350211353352
a18= -0.0002535491984167313982000002222055151244869854634203448043707120269
a19=  7.474329223085915950884540078277690484938706743288781428137903383 E-6
a20=  0.0001231669079299400894985435834636622752544638908625076918440943470
a21=  3.592266368825578996210108452715292712732275479927526124549242835 E-5
a22= -4.771476910689444014018573703658114661385911819218435190602518155 E-5
a23= -3.272889487957004696828142700919502469291736603174453739744315268 E-5
a24=  1.258703285098358347749875329623452829728682615105186756390793250 E-5
a25=  2.000570627969104724138496491851284707326255458293798934073885969 E-5
a26=  3.284218869867558374701380367472423092270229993537375282034770308 E-7
a27= -9.697531988781189827615365350494630804263094096133489720987427272 E-6
a28= -3.310447682347045949190757943885838222087213576176691801688900383 E-6
a29=  3.702248550882141767392564890813553339599097591217871171078241223 E-6
a30=  2.840487012295409709680867478577750281913407355967476566923349186 E-6
a31= -9.073731287210942558756596520103329499320564180127896196017310538 E-7
a32= -1.705425836947889717515796308189891975782344666959883859095094336 E-6
a33= -1.057669305211276191132194724701597139630388815538640530264235688 E-7
a34=  8.149596873565524717425686436392918332703341976749493081013416213 E-7
a35=  3.193789123826919874168030955705642260613989601239468345491844566 E-7
a36= -3.028039527445897900062374850306972445491597215492214316210080027 E-7
a37= -2.591136092131384008488248030586054469362343433231372118130231334 E-7
a38=  6.686809507060311495088080557074581678882161749728824437988704467 E-8
a39=  1.520479853775821062360934318770728061890028898833804863332833146 E-7
a40=  1.630101676104411075993591867165946175742846501852490384106721638 E-8
a41= -7.119284105643246017289942493708482292517884562685452245399518298 E-8
a42= -3.162031365594255492380280471995541488815640334684241019261402017 E-8
a43=  2.552684116758340672530832227895857754023524632104762772056696547 E-8
a44=  2.437573341119707631896228872012486861464740640146272808151154392 E-8
a45= -4.883855518155891099808213808639135531346634923372993556210116854 E-9
a46= -1.394923579047078919729854734504099843950326607651902317617416383 E-8
a47= -2.122630494555839054141237432076056858877605913617337063135778492 E-9
a48=  6.375335325259692256046496244584051145755868983695522248604342676 E-9
a49=  3.180680067153618782031418707120820781017567610533913388433985768 E-9
a50= -2.189601257973647512194117888137301050611419314882674952573594057 E-9
a51= -2.340307291006173233532947299073491920441105207373768221616649410 E-9
a52=  3.413613314401874746450223319160523574170853264837358744641499888 E-10
a53=  1.304690527113166729216995793774228196285153150900209376981223586 E-9
a54=  2.572422431102460539030656306452336517344346373098074950922460033 E-10
a55= -5.803669719239378158416440149108990582783371327199231603447650332 E-10
a56= -3.232374117501158088772917311928805180241022970045675193829892448 E-10
a57=  1.894495777363481798899503965351568438487822611855423436394279113 E-10
a58=  2.278772056774493626811961279866078301373616952255671510102864027 E-10
a59= -2.143274466958880590913288761609977423122574323440190759816797793 E-11
