# x0, imag(x0), z0, imag(z0), xk, zk, Derivative[zk][Derivative[xk][SuperExp][x0]][z0]/(xk!*zk!), imag(_), comment

# OGF: Series[SuperLog[E][z], {z, 0, 256}]
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x0,-0x1.0p+0,0x0, exact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x1,+0x1.d4f6e1ab219ebbcd545c9b61b6cap-1,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x2,+0x1.fead9fb33bc70c6d3648d273f1a2p-3,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x3,-0x1.c476b22afa8b9beb699757c572c6p-4,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x4,-0x1.80c34d79006f8868e79538212d1ap-4,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x5,+0x1.47c933eca1ce35f9ee12634842c6p-7,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x6,+0x1.261365e7c61f44e768f6ba3188c0p-5,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x7,+0x1.aecb5ebf0d232855573c6c5f0d24p-8,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x8,-0x1.93456b92d3220729c3180983dc53p-7,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0x9,-0x1.a2c3190ffb49db9332c400b60789p-8,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0xa,+0x1.ad1372758374b78f7af966e26716p-9,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0xb,+0x1.ee0976d42a27057c40ddf578524bp-9,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0xc,-0x1.25d42ef481971fcf4290acdb8533p-12,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0xd,-0x1.d1556270b73ab481ef5c748b397dp-10,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0xe,-0x1.c0c24f8a31d90ad93558ce85301bp-12,0x0, inexact
+0x1.5bf0a8b1457695355fb8ac404e7ap+1,0x0,0x0,0x0,0x0,0xf,+0x1.645ee96b43878aa1ff4af1f550d4p-11,0x0, inexact
