-0x1.59fe2d484e1af0cab9d1584abbc6p-2,0x1.177e8271e117a4281567ea0f7aa3p-5
0x1.694a1a8e77230d08c0d2bbbc3248p-9,0x1.561126d90d16a15538430b88ee91p-9
0x1.ed38d4a5272c6db594cd314ce4f0p-13,0x1.3bf1f385e552fafa562f1266645dp-13
0x1.2000b6c5a37637c681e83d3f0988p-15,0x1.0e7295d2c85f10dce7a3374266bfp-16
0x1.dae8196c6980db3ead35a7abd29ep-18,0x1.4a4adc3d9fd9624b99d0d11296e4p-19
0x1.f95d7acdcd537870d046609b7b6ep-20,0x1.fc0eabca527eab03011c7235dcb2p-22
0x1.4950eed2991263fe30106f3a9608p-21,0x1.c091d700be912abc4e88764cfa9dp-24
0x1.fbd6c929a3b34c8e204d4a0d94ddp-23,0x1.93da29435e7c36da5e7fb7568df1p-26
0x1.c427d467ec8c8f2dfc501a374f0ep-24,0x1.02b66177a8a8d5444c9857126605p-28
0x1.c87c4480aa16cdb7dd538ae29ae5p-25,-0x1.4979fa299e86c7364295a5857c28p-30
0x1.01a0a5ad5b013454faeecadc4048p-25,-0x1.3ca3b86c032cd9cd2605d02cfaa3p-29
0x1.417c63eb06e68a7eefd77742a853p-26,-0x1.48feca2988ae2c5506b96e917b59p-29
0x1.b7761acb7070c00c64dbf0392235p-27,-0x1.364d491b8a3b7fad41f5fc9aba0fp-29
0x1.4687c51d01403a4065c3b3ed098ap-27,-0x1.236e046b6cba11b4012515022721p-29
0x1.060f351542dd402fadd49bbbab67p-27,-0x1.190b68353cb8f10c82e375993da3p-29
0x1.c3d6373b474f6c6a8e317425ce3cp-28,-0x1.19c099be9c138953b7f9f22c181dp-29
0x1.a06bf2c6a34491c71fd005125811p-28,-0x1.2727b4450f5fc1bbe5a2794c5b33p-29
0x1.9892e0da1b6030e49fe1ba0ca50bp-28,-0x1.43b47b8e778724d9cb6fec72e865p-29
0x1.a93336e4f850246e7038e9985b3dp-28,-0x1.73c974659896a9f47f50d1049ec1p-29
0x1.d3d2921441b0ca871fda24576881p-28,-0x1.bef1f68cf535e4ac84f2ff3414c7p-29
0x1.0f4a3af3cff8acd97f0acb87e72fp-27,-0x1.18eb7c99809d8295dfb42536025fp-28
0x1.4acd6c8e9f83db4b0cccc90a4b09p-27,-0x1.70d49fbb61e1629dd833dec40f38p-28
0x1.a714adab4523a4aaf9ac4f779101p-27,-0x1.f921407f120a1a9a51b84d96113ep-28
0x1.1b28867b820d0cc62f0cd72d6de7p-26,-0x1.68573f547d566c01e848ab5063b0p-27
0x1.8be79fc09f7d180bcf1828470804p-26,-0x1.0b705dcd53e3a978de5efa2ff7fbp-26
0x1.209408e294a603fc4286705969b6p-25,-0x1.9c7e52eb037f5b76e9a0d3577f8dp-26
0x1.b5e98d572f26645d3e3a8f9db2bfp-25,-0x1.4a244c5b18ced3bfdc00ec54aa3dp-25
0x1.5954f5904a93d8f9d83aa3e32783p-24,-0x1.11e728d8aede67905f3dd63a8a18p-24
0x1.1aa2c429d3e4a923f23d989267b0p-23,-0x1.d69943faeb85d4892bf20c5b2a0ep-24
0x1.df885dd370510b6a745666291b4cp-23,-0x1.a228865e1d15767c68eb6ca3f5ffp-23
0x1.a52203c3c977e0ce590c36fa5162p-22,-0x1.7fef65f454498382d9087f6efda7p-22
0x1.7e71125fa87995b06e6239c5ef49p-21,-0x1.6be71b7937b9c9c775d9ba046996p-21
0x1.66c0798c6679a71cfe0b8e96fe2bp-20,-0x1.63bc53b1ef9c8e3e008f861caf4ap-20
