-0x1.0a7b9d3b3dceb8659f305a76f38cp-2,0x1.598a25fde632f278adb536e228b3p-4
0x1.1588c7914802ef4e6b20d6e68ef1p-6,0x1.b5b710ae747baf6c3702d9091cdep-8
0x1.527b8b1dea1bf75f8f3f3d038b3ap-8,0x1.a49ccc7ab1d240397ea76b53c182p-12
0x1.5d478034d533458fe67e31de10b5p-9,-0x1.6d1e0a2a8fa72cd0d365de479973p-12
0x1.fab962f34ec594b2a8a7cab01a72p-10,-0x1.31a63d37ba043fcff036f88854c9p-11
0x1.d98c85f68eff21c5b1efb6858c3ap-10,-0x1.afc8eb87968f58885595801cb1ddp-11
0x1.0ede6ac01b41c9647fdfd4d29aa5p-9,-0x1.46806859f1d1aadb1c92fa0ffc27p-10
0x1.6ed243e4c23a3ec81378ab11c51cp-9,-0x1.11f0c32169fd171d9adb8c24c83ep-9
0x1.1f2aa55cb21f5c7862728cd87a31p-8,-0x1.ffc01a95128eba2ec2aac9187164p-9
0x1.fed364494c774d189bedc7e9e5e7p-8,-0x1.08e1deaf997f976365ddeff6e3a9p-7
0x1.fd574115ee86dca62f9acff68237p-7,-0x1.2dfb3f58dae6cb4ff392bd72a6efp-6
0x1.19b366bde7a125dd4c03c636e1fcp-5,-0x1.78b8f2d631dc78606c85471dae24p-5
0x1.56ca8b6bce759a09eff7602c925ap-4,-0x1.ff30a79a7946f9b566f98d18aedep-4
0x1.c7c4bcf78b584965561f9d148e34p-3,-0x1.773948fd946ac7ff611e6f3234abp-2
0x1.4933e7d32d7b9756b76b1d8e6c6ap-1,-0x1.2889e8694b33c20216ad0c9160acp+0
0x1.0124fe658957acd547456c23d06ep+1,-0x1.f67a600e1688c716f175afab5340p+1
0x1.b0b140b72dfe36acb590f4280fc3p+2,-0x1.c6a390c89a705f962845e665e942p+3
0x1.86c00bf9446ca5f74b299604d37ep+4,-0x1.b5c8b0cfaa3d1271c5f3537e95afp+5
0x1.7996bcbac96ed3c3e8b2b5eee72cp+6,-0x1.bf3e123b13a6c70875dbf17fb41dp+7
0x1.8550bde2d3fb7ae4d284a819f013p+8,-0x1.e36122113b58028ce0a6255eaee3p+9
0x1.ab25fdf69121b3079c3ea8cb41bap+10,-0x1.13a44e2122f88d70b8fb784a5cdap+12
0x1.f16b86723bb9ea6a3be174ae1fdfp+12,-0x1.4af029667d7fb6573c490099a8f9p+14
0x1.329e8609d9c04168a4b7fa84390fp+15,-0x1.a15da8b292825d1f4c80bda45a16p+16
0x1.8f2f964852de57375b84b88669e8p+17,-0x1.13e607205f4fc0606ec18f9f5b7ap+19
0x1.11b93ea3f235072de2f81b0fca36p+20,-0x1.7dabfac5bb3e3f60a07338a6193ep+21
0x1.8a77d1ed3dcd1bc59359783a5002p+22,-0x1.13c0a003a197277eeb9db3ffdd9bp+24
0x1.29fa4dc083e8c7f8cc5cad599bd2p+25,-0x1.9f83cf59ebf141111a55546c4f16p+26
0x1.d6dd9bf3a9392caa1d95c3dda9d6p+27,-0x1.45f5e0f7edef4edf67fdcb7e3719p+29
0x1.84485e0bcde25ce59d046aa6f9ddp+30,-0x1.09dcda6524a5d5c9d8907c81bdd0p+32
0x1.4d7c8d95fad2b0c28339da6922d5p+33,-0x1.c24d35d8bec532e0f7372beec82ap+34
0x1.29c12d50157065e5858157d2b192p+36,-0x1.8b71e96169ba099a08f6aae7797dp+37
0x1.13e140f845a944c3d40f15b137b1p+39,-0x1.67ac88041497223c4a61d87a99ffp+40
0x1.08d2925f86a0b96d6623fb5475d6p+42,-0x1.526f4d1ae22e22d57181db5a7c66p+43
0x1.06f969a6c527db1d3fddc1b9d7a0p+45,-0x1.4916d39e744b3a3af7e61b7ae48fp+46
0x1.0dc617907f30af90d9560002cb00p+48,-0x1.4a5a9da8289fec61a3f6c6afc61fp+49
0x1.1d8abb612fd42a05c57c54c00e7cp+51,-0x1.560509bc04bf7733f4b3f7a92cf3p+52
0x1.3779f2c8f88b7b535f3ba053713ep+54,-0x1.6cdcb10edbdd321d87296a55f6edp+55
0x1.5dca776afa7a4109e925237dd67cp+57,-0x1.90b6949797ece04b50dfc758d401p+58
0x1.940486f9d4a4ad5ae4ef52f84263p+60,-0x1.c4b22dd0e91b9e04814536859f8ep+61
0x1.df873d361aed2571ccefb0f01429p+63,-0x1.06d4ca09e441b57faa4cdf8ffeb5p+65
0x1.243039cb69234121c245685205d0p+67,-0x1.3975862a7f2d80e97c94c2570cc7p+68
0x1.6d525ee2da7d267285815e90b7b0p+70,-0x1.7fb0c5cbd2dd684de6f39b580098p+71
0x1.d44a0b7ecf670d5d59fa93be5f36p+73,-0x1.e1b5b11d889c3792dc45340f12aep+74
0x1.3382fa53091449a73d60836652b6p+77,-0x1.35f22dc3c87bb9180510fac0943ep+78
0x1.9d88110de1736986099ca0574f25p+80,-0x1.9894cf1ee7124a9bc7b653c4417cp+81
0x1.1c8a1ec417d386a4d6b53b2d2975p+84,-0x1.13b57a1f462723752edf90d831b5p+85
0x1.907bf419d5060fb392532f9029b3p+87,-0x1.7cbc2a9f91b722fd4d92496805f1p+88
0x1.201b0e46e1fc39c441d667b0f229p+91,-0x1.0cd8e394e4a706515414ef28f98cp+92
