-0x1.3688091c8b685d407129cb3f412dp-2,0x1.fa2c6c879b0790273dc73efde1cep-5
0x1.caf8393a40181e6be76f8fd71ccfp-8,0x1.3132fee21905fdd1c9f0fe969576p-8
0x1.2e90f3600bfb23e8ce83ebf86217p-10,0x1.b89115c670da8e705720fa7043d8p-12
0x1.534d2f5c9408563c5b8f3b37659dp-12,0x1.f5dceb54ee2f6a2910bb04848924p-15
0x1.0bf671e392263975a4ac3a5a87aep-13,0x1.af2c4a456431da80b62d4d81c622p-18
0x1.10c53b814c9640f1befba41342eep-14,-0x1.0d7fff422112f7f08490c6d9f694p-18
0x1.53cb10ee555f32ba08194ebdb168p-15,-0x1.b46fc03e15dd19ddb474b6492138p-18
0x1.f49b22795da4c07bf62f6e123be7p-16,-0x1.f690637d29eb4fdad796e44dab65p-18
0x1.a9b31adeada9eb94d9ab4012f050p-16,-0x1.1df9e53046752c28d7d3faf37701p-17
0x1.9a6bb06f3697bb74d7e5d5c82a3ap-16,-0x1.5664e383c2b2704146227ee34276p-17
0x1.ba638f3d479cb53f976aff4f9d15p-16,-0x1.b6ccbf4bdcdc7d03904ce010d039p-17
0x1.079bd9eb844ae7c96eca37794dacp-15,-0x1.2e395e076629d64e4cec34772533p-16
0x1.5833182092e430f8ebc3ea767ab9p-15,-0x1.bf3fce08a26a9fb106a769e27705p-16
0x1.e8b4c1b17b0812070e13a7798fe6p-15,-0x1.62b49076a99c76c8f8a657e76806p-15
0x1.76de05618a074b830fe7c5851eecp-14,-0x1.2ca190ed1d8b519780e66b38205dp-14
0x1.3501c6538d841f1b9261a314bb43p-13,-0x1.0f75167c1cf59debac4b6e798604p-13
0x1.1072414b9acd240e1fb7be792756p-12,-0x1.04587f5c4efcb90a12a5115398a7p-12
0x1.ffc35a747ad893cd4ee03caa8216p-12,-0x1.08707564c33e062cce4eeb216192p-11
0x1.fe2a9b61a2d0116ce63dddd98469p-11,-0x1.1bb290684f6b29c1fe5cecc5dbacp-10
0x1.0d0c432970d659d7cc8c235110e8p-9,-0x1.40aa10e8daf52d34f12f30c4c2c2p-9
0x1.2b66d3ade4b018497a865d356669p-8,-0x1.7cfb793e0624ddd55c23c7ce1a5dp-8
0x1.5ea2f9f0992c2dc394727cd5f386p-7,-0x1.dac690257f62bf360a3710304400p-7
0x1.af2c436e042095bb22050543b3f9p-6,-0x1.35adfa3a403d12ddf3377582cda2p-5
0x1.15ca0a3605b873892f637e3a4043p-4,-0x1.a6207e5dc5558a112416e7c78cadp-4
0x1.765eb77319bb9d2f8f59c59bae14p-3,-0x1.2c1cd124b1cd711b23a3869ddcffp-2
0x1.0765fc543090b01b4920ddc84c29p-1,-0x1.bc70b62c6649f2c995d5e64086f9p-1
0x1.82670f631b9efa1329512c9c063bp+0,-0x1.563e8bbb8d2597fdd6527debf956p+1
0x1.270e9df9efd23b09d01e799067a9p+2,-0x1.11b5eab1157bea861ef4fedd245bp+3
0x1.d47ea13d8768e8b817b94f7c1e35p+3,-0x1.c61b4ee3f06379cb3bf216464ac2p+4
0x1.823c4cc1f2848fca646f2f66d58fp+5,-0x1.8643b3a7e2fbb0ac4b9d35bf4f85p+6
0x1.4a49d05038586876dc460fe26cfdp+7,-0x1.5b16e612ede9a870d483da8aa3dcp+8
0x1.24aafbbe690dc5d5a3104ce576a2p+9,-0x1.3f1e2730c3f9074f05d6c361806bp+10
0x1.0c74e8d04ba7a8211346b4d83c7cp+11,-0x1.2f0334821d90454b397576c3e848p+12
0x1.fd5b55c289aef856bea141f3950bp+12,-0x1.28dee954b47e1fd03a2980e33a68p+14
0x1.f352d139c490ff1920945a5a5d68p+14,-0x1.2bd7565fd985da2715ecb2458c0ap+16
0x1.f963a535eceaebf32b879f1e8031p+16,-0x1.37f0e32ccf3252204b26c1dff172p+18
0x1.07dd7f795074694e2b3beef87e5dp+19,-0x1.4e04a5d315e930bc5ca822f08548p+20
0x1.1c0abb17ff9b01bcbd81e1aba346p+21,-0x1.6fd76f9408b2efd1f99a5f37727dp+22
0x1.3afa6f407c7b6d4f876fbdf3a438p+23,-0x1.a05453dad61cc998e4e96f7390b9p+24
0x1.678f2ec7997a8a2a2ee34ca55910p+25,-0x1.e3f4dcca44d9f63b1f9f5d4f936ap+26
0x1.a63c5fd0f4edb16c59d7c7e83e3ep+27,-0x1.20b55d12c9e314eec7510b9a432cp+29
0x1.fdbc45ee66892aa6bf9380d33bf9p+29,-0x1.615683a3d94687ef5f3144a0598fp+31
0x1.3c1a22347a3974f8f9e18c4b2884p+32,-0x1.bb51154fbf26daaa77910259c176p+33
0x1.9284f2b6f679ba01e4bef19fe0b4p+34,-0x1.1cf15029da039047aa3dc77ea0e3p+36
0x1.06f64d700a8225d790976e9374c7p+37,-0x1.77198a79e12d1c0ab1c16fb5ff24p+38
0x1.6053153172fc42b2cea0148ebfbfp+39,-0x1.f9645b98f95ece904f6c49445352p+40
0x1.e3c7b56143ccfbf18c88a99af28cp+41,-0x1.5c4d93ea149f39a0b7217101dfebp+43
0x1.5431ae1146edb2bdf3ccb7027276p+44,-0x1.eae49e2c3578759df50076acfc29p+45
0x1.e9c57b35c0610b64e95dbe4baa1dp+46,-0x1.618e66ffbe68c06debcab93b6b03p+48
