0x1.027b2edb6452d7a25b751d5c9e8cp-3,0x1.41239bf4d68425ec5c4e6c5aa9c5p-3
0x1.16ee2697a77e287eb6fab0e1623ep-1,0x1.e75077b437d3a269c302600761b2p-3
0x1.a17c5e6d0661fa027fbea91f27dep-1,0x1.cfea78c6c4c3c2619bef36e1737dp-1
0x1.17141c9cc2e970cc5c37164f8b14p+1,0x1.261883dfdaf45535c0fd630bb006p+1
0x1.d17156acb1cb4c731830c7e6983dp+3,0x1.c364f0c75c1f03dadfb1820ee168p+3
0x1.6943b6686fccd05d95eb2a91eb4fp+5,0x1.19ce5b482505ee8df7f6e4d27bc8p+6
0x1.23c67310d88b7573f63781e23bf7p+10,-0x1.722721d0dc2fe19c7f4e7ecc6959p+5
0x1.9917190aab4e9e8873c5fd3327bap+13,0x1.368da1aee71ed1d132fc76745be5p+13
0x1.fdbe218a5a01e5d041cb8e195a02p+15,-0x1.767953827d21e3e8eb6e080a6d7ep+15
0x1.40474bbd44a0f66d0cb77130e016p+22,-0x1.649c651c5a5f09809eb70831507bp+16
0x1.038864eac4f537dd677c9ff92a42p+23,0x1.6cec30c801dc736552ddf35810c3p+25
0x1.66ffe6baf853eb4492f4a859312cp+29,-0x1.850f2470680c0e378478dba33cebp+30
0x1.8988bf722a0b74c429d33f0ff208p+35,0x1.7fbb1e83ec45905d9885d496a977p+34
-0x1.bf73091b9cc33dac3cc8364b0a3bp+39,-0x1.b399b6df6f1b11a5393e4d3fa2acp+35
0x1.3f7156552f5c6f51ba556b3dc711p+45,-0x1.203d22d64e9f33a367638f7c1e9cp+45
0x1.2efa99c9fb7cf900b5883a0c2b5ep+48,0x1.70895f2b4d6015296cae9c01e122p+50
-0x1.26ba7b143ada7026856a12b00cfdp+55,-0x1.86c24dcdf55987d0923a0b31ce00p+55
0x1.68a5077d0a6f91d471d3d6c32ac8p+61,-0x1.24f3b2f105dd8e2018edfa1d9eecp+57
-0x1.3826db095925a7c60ffe8fd4f841p+66,0x1.2a2bdbe887e0a4e358b6c0af6a97p+66
0x1.b9cf9a5e5ba3c84cac845eb458b7p+68,-0x1.7073ba5cc6433aa4bb99aff1d802p+72
0x1.8729208d1e63bd7d86973d218f4fp+77,0x1.8a90cea7a1440cde662269422278p+77
-0x1.cb95d791c9cfd8e4a627d08855f5p+83,-0x1.57a81fe06f594e6640fba50b1740p+80
0x1.3da89b90ba6a9daa9af8dc2d60f0p+89,-0x1.1787d7bb6423903327eb58be1560p+89
-0x1.db117c69102e87c1ff49209cdbe6p+91,0x1.75a19d43a6a8a7ab49eb3fdc8cdbp+95
-0x1.d39d44d4d0df680fd9eb65dbd041p+100,-0x1.2285d9c22f15b7258176bcea75d5p+101
0x1.74c6232f87a3e777071f4d876edcp+107,0x1.1cad892fd27b4ddd79620e997f76p+104
-0x1.3557d2550900a796efafa54c2ec2p+113,0x1.e3394ab23908d04ffa552c2128bcp+112
0x1.b4a17f1de82d62735fee614bd610p+116,-0x1.b10f627457746fb3bf65ef2bb97dp+119
0x1.2ba8c1ef0637a5aeef1834b8ccdep+125,0x1.8850c3b911e596c7dbe243281069p+125
-0x1.2308956a03df189c0a12d3dfc4afp+132,-0x1.5b7fe286231d199eb59a357c9c9ap+129
0x1.237eb4edb5bd2d60fb66dab52299p+138,-0x1.acad566ce7507e7493153f7caee0p+137
-0x1.2b2f667a53de66ab4a38b1df224ap+142,0x1.c569d0dde6fabedef023c7d34a16p+144
-0x1.5de83814852659066ed48e76cd6dp+150,-0x1.f03b7462143962868e221b985c14p+150
0x1.95b5e116e281e5e962905fada041p+157,0x1.24a5e79479dae0e041bff63523ccp+155
-0x1.df22362054376e187beb6436cae5p+163,0x1.45e62c6e602a43ffdf6732ef49adp+163
0x1.44b81ab598f2db6d7866c2b7b4aap+168,-0x1.9bd63100b650cda60f3127be1673p+170
0x1.5846c59b98636ab4bac23fb21815p+176,0x1.054785218491357e7cfbe9d5a3fbp+177
-0x1.d648315648a3fd3677282231d054p+183,-0x1.919ebb785783536d191a7f92cfcep+181
0x1.3ffa79d440476b2d625776dfdfaep+190,-0x1.988b83ec096f5905a46bdee019e9p+189
-0x1.12ac8cea0a69c9ee263c9f3b6c62p+195,0x1.2c622ac7632a9329cd87868e15dap+197
-0x1.0e477034fcff95cdd0e276aef033p+203,-0x1.b4eaa2bf02f23c8893acd3b449a2p+203
0x1.aaf738009e6262b0e62e31296263p+210,0x1.9ecc0dcbcd32ce3c76a7499d9c28p+208
-0x1.4a964ea3991faae3fb58dfb44114p+217,0x1.8cbacaa4830e24ea6ae52b4a1c33p+216
0x1.58d30799a03dd8216bf885f80253p+222,-0x1.4fc38901ea03c3f4861d8e690d25p+224
0x1.41895cde32082c1f0981a141ad77p+230,0x1.13e02222d083ac7516b6b68ad725p+231
-0x1.22b2f21c6fae3b19281841ec2bedp+238,-0x1.3a3488b1f926c3047100389a6fc2p+236
0x1.f99bc64011efa2b8df14a5923588p+244,-0x1.1e6b21167b03d47ed30e9b1046b5p+244
-0x1.38831ba214b87a93910d14f48b66p+250,0x1.13e3273dfa1cbfc4ede0c0832c93p+252
-0x1.1730ae3c12b34728159bcd64e0f6p+258,-0x1.faaa57ab47f3984158d586e0836cp+258
0x1.1de294eeeed6ee5af0a03087b5c8p+266,0x1.521fe8c9559c2211cfa48e77502cp+264
-0x1.148a9f0c5df15eef2aa1c70d48cfp+273,0x1.28a7ff2f7aebadbbb7f0224bfb5dp+272
0x1.8cbe07ea66db62217b9388e30a99p+278,-0x1.424762e3f60e4e613c2ef37bd2c4p+280
0x1.5669e754d05d909022b7d4749b89p+286,0x1.47b2f4241ed391893a99da9e544fp+287
-0x1.89e48a9086e86970fb6e70ec23f4p+294,-0x1.f75866df01f651dc95bdfacdbe16p+292
0x1.a4312cddf2892e30eefefbfbbcccp+301,-0x1.abf111dfb8b55232d89c317cce87p+300
-0x1.58426214da2940103df3e71768c1p+307,0x1.0429a20b5003dbbcdc034edb7c29p+309
-0x1.20acf013c4a5c3768daf1edcb642p+315,-0x1.22a4b2059479861c315ab5f547abp+316
