0x1.b61d7754f5c0424aff31021cca64p+0,0x1.50b7f80ddb2b6e9735b25ee6e282p-1
-0x1.358c27a6bc0e1f8cf1c43aa6bfecp-2,-0x1.1fb39e7ccd78f4cd6b5b5b30590cp-5
-0x1.57cc67fd958b6095a7e00996b6ccp-3,-0x1.75f66fb3cc3d05283cffc5a1e8ccp-2
0x1.0fb80d4f2339de127ad9b05fa4d3p-1,-0x1.5d07c798fb8fe5e749b36c968fdbp-1
0x1.321352083033ccd906d7eb4fba5cp+1,0x1.07558105e85d9ec5eb270bb00807p-1
0x1.cf844d140f631b76c653ec42ad62p+0,0x1.fc34d27020904f7a152c285962f6p+2
-0x1.6bfdf7e586b84f91854813ca5253p+4,0x1.198e795619558df654b10dae72f9p+4
-0x1.4070a5e8b2ca1da9b3b220a50397p+6,-0x1.358306031c80ef4a4838a13a449bp+5
-0x1.f8cc219624d540a6acd51d24319fp+5,-0x1.278c36cfcf9310b7e661b83fdcbep+5
-0x1.f2bb8b86e3d629a20462cdd0b942p+11,0x1.a32d0e54cd9d2ebb85bc22b6b231p+8
-0x1.0989bd41d5754b1715345c90485cp+15,-0x1.aa9bc96078acf2fbfee24c619b9ap+15
0x1.c36e65d13f8e10c65920d89a905ap+18,-0x1.415e900e43fdcb6716be58ed2e31p+19
0x1.101a7265d093ff558a42138f7301p+23,0x1.0034004e10fb37d2718087414ffbp+21
0x1.7bd9e7ec5430faee06ef228098cap+23,0x1.6fc0e54702ebc1112fefff0ecd7fp+26
-0x1.8f1c21f8366dbb7fce282d30b54dp+29,0x1.7e2b3923dd754f34bdee36aa622dp+28
-0x1.e050eaf3f8a7f03a885a5f4ae3d2p+31,-0x1.51019981e17f1a358f8f43336e79p+32
0x1.31ce5550b4851e473019d94e2d24p+35,0x1.b3bb3ed91f1454f284b4ecabb8c3p+33
-0x1.56a740086576639c395ce5f3797fp+40,0x1.d5c8c12f80f6f4a19cf0d5cf0e88p+39
-0x1.018f84df431acffa7b42efd929b4p+45,-0x1.f4b5435bc130b2af0e46f4921010p+44
0x1.c6d55151c1e33adecaf3a82f79afp+48,-0x1.b8ddc155cfbedd11069c35660f3dp+49
0x1.2b258dc410af8d1470702dd85b19p+54,0x1.94e9b319e6c849fb096d8808edb6p+51
0x1.463781b37ae3540dc2e77bbc70a4p+55,0x1.4c9a538b5bd237e45a7e0555c261p+58
-0x1.32b856f0eba23aa8852cadc65c5cp+62,0x1.b5ec3f161b72da67f1dd7409eb4ap+60
-0x1.48980a1e3129f32dd53cec887749p+64,-0x1.f418d6de842852ce555258d4a1dbp+65
0x1.06c3cbb751a69f857f3b2bb6e39ep+70,0x1.c4537431a6d7c449c35d1873eb53p+68
-0x1.eebf98473fae169d9e305d4dfd4ep+74,0x1.0c53b53ba353144bf30e20c8aa74p+75
-0x1.4e84339082cb2046485a0cdb3319p+80,-0x1.da9ea8b5be57a56188d856059c26p+79
0x1.21977f799a471a3a84edca9bfa35p+84,-0x1.6c57dcc4d2620a7fdcacad74248dp+85
0x1.4b95a8020973bebd990c9e795341p+90,0x1.3ccd0a866ce4574d4da540c2dac1p+87
0x1.d8c45581f3ba66bf0e8db3495ca6p+91,0x1.fc6e75816b209aec8a89d8005dacp+94
-0x1.506ae55f94da039c33a627081a65p+99,0x1.618f5c7b291226bec176e1bea3a5p+97
-0x1.9a9996ad3d15dc385a6c41abd6c1p+100,-0x1.ad1040cd2467fbc78b5a4979dbcep+103
0x1.6975ab30e8fe5f73d017de14b3ecp+108,0x1.3a08bb1ddcec68a9857500ee2e14p+107
-0x1.4a4793538bd9dad76a73e2d872e5p+113,0x1.d4b37c08898b4a539413abc1322ep+113
-0x1.54ec11b1b893a8cd9e0a4b2289efp+119,-0x1.7c8ebfaed21ae6dbd568a183c233p+118
0x1.1ae5dc9dd26640b55ff8378195ccp+123,-0x1.bfda4a3f8d8cbcc01918faeea1a8p+124
0x1.fa8de6fe22afd0a9229a95b43f06p+129,0x1.592d2eea9c0b36cb21a3dd89e380p+126
0x1.96ca286638ae40104c5e8bda235fp+131,0x1.ef133a269019a866e81509096055p+134
-0x1.b217d44c41ac83fe63adbe682cbfp+139,0x1.37c524bfd132ae5167b2645d2480p+137
0x1.12d391930392c9b243707e243b2ep+138,-0x1.84f36c5f676064886b2f5d7dfac1p+144
0x1.c46381df0287284386c050867c04p+149,0x1.7b1240b30a73ab16f1bd2b48c448p+148
-0x1.97b8dfe6737686b6b9c61d9d059ap+154,0x1.61f1d8b92791082f3e79a87e51b1p+155
-0x1.27a78c2894d09a14dd10e14b0b9bp+161,-0x1.0d3bc55e29c6b4cbde7e580787e4p+160
0x1.cf257fc71ba8ee418c4042c3e3afp+164,-0x1.c4b12a3b297c04215cb31c66cdc3p+166
0x1.30dbd22db6040b94654cdf8bdba1p+172,0x1.300a4fc6b1eee64fe0060de2f2cfp+168
0x1.e3eceecab7a003180858f2cb9fe8p+173,0x1.6b55514443607da98d2ea6061e30p+177
-0x1.927b25e7a91e9ff17cc021159c7bp+182,0x1.55cfe585bb0957fd7408eb820fe7p+179
0x1.698ad814c9841328b48d888978bap+184,-0x1.d90807d676c97c14e4e6b4fae665p+187
0x1.5db9c0ddfd7d9f422547e2a2a362p+193,0x1.156974a19b65845eedb507a3be6cp+192
-0x1.3645f996d9b326ce214ed4257efcp+198,0x1.3ec9cbd88c0ffa96d1ae89180addp+199
