0x1.7a9a53e92385d468f4b0c48780e5p+0,0x1.ab3a175c30efaf78b4d24e4e1facp-2
-0x1.c69aece4bd3b8c2d2a7bb1930721p-6,-0x1.61d57c92184a590d0a3d8d38c76dp-2
0x1.cf2c6bc243c57764de57a3cc3af2p-2,0x1.2dcc0f38054015fd4c3c693d7390p-3
-0x1.825a95f7c0d692105997bf730a78p-1,0x1.b4eb4c3bb06612d0f799087d0561p-1
-0x1.b0c7730c247e6927817016c74501p+0,-0x1.c87582a6b753fdc170389cdf5c2bp+1
0x1.22b2b7b7475eccccd64a2750e272p+4,-0x1.c373e9ac8ee9880e9952eecd50f5p-1
-0x1.17e4f7cc35aee5e8bbc4d1276b57p+5,0x1.908e735e3d6faf0716d47965f217p+6
-0x1.1d65603e73924ef27af04e45e90ap+9,-0x1.ee2b3b199de8e3aa79f4478962aap+8
0x1.60a44eb9a392fbbc24fc8a116ba7p+12,-0x1.72ffa3d2fad73076973ca978341dp+11
0x1.baa59d7d61c3bf9338f0168e70e5p+12,0x1.e46f4d2d40f6371d546c328ef738p+15
-0x1.48662c4e8756808db927755dec6bp+19,-0x1.572cd23d542d4f809c5c8091494ep+17
0x1.35766f8575c2bc63c1c0fc90b128p+22,-0x1.adc57cd7e1d882e6704de6a542a1p+22
0x1.f47072bbbddd9c8e4b8fdaaed3a9p+25,0x1.7ef343839a341eacc2e5f1b5e68fp+26
-0x1.a799a1343851a0bbd61007a6f076p+30,0x1.6b79bbc2d0bd93b2415315c5b1ddp+28
0x1.14b0f9880d95dd774412e7558f9dp+32,-0x1.b8e5e1d7ef4a801deabc01357108p+34
0x1.ae93716214c79b311ed7a453da02p+38,0x1.ef6e4124b579b715e9b735fd4059p+37
-0x1.cce8b2d21a830249815ffa80b972p+42,0x1.76cd82b6dce1dfb41da0b4953394p+42
-0x1.d9c222348f77b587ce7387c44782p+45,-0x1.68e29cc4f35c0249749eab3d6e87p+47
0x1.024512af4b3e8b9b05dee853d164p+52,0x1.8e5b6ba14ad6e741c1e1905c8454p+47
-0x1.2be43166e50df66f466e0b538c47p+55,0x1.5607f77bc1115c791b4f925ac3aep+56
-0x1.96436b7685fe92c53640f3d27ac1p+60,-0x1.903e08a5a972c4ba50d99f231258p+60
0x1.a1979ebc51531c1def4cb2667955p+65,-0x1.7d4ddaf88ede9c463b7ee66b27a8p+64
0x1.8cc8e5f3ae63a5c7a16774dd7266p+66,0x1.83b6cb03fc3a0bcb93e248b27507p+70
-0x1.496ea0440e903b2e9bbb60cd0dacp+75,-0x1.9832f213ce01ec8c61947cfd2409p+73
0x1.8b356062676fb8dc6eae458cb4ddp+79,-0x1.f874e2500662fc28180ca9b89366p+79
0x1.40e705c62edabc066015cbd6821fp+84,0x1.0a5a783dc6f3bfdca0ee22cab750p+85
-0x1.35a4339e3c6d3bdc771d5f1013d1p+90,0x1.be316d763d1b0688ae31aef38a2bp+87
0x1.e9629c50b36e0d2c9e6b0cabf1d3p+92,-0x1.45aa30f3c8dee647067ab234dce4p+95
0x1.354cf03c6b787083af7621de05dap+100,0x1.7ad7aeff677119fffb6026f3efbdp+99
-0x1.46185066f674944ba16c5a8e7502p+105,0x1.f7981fc3d819e4acfd16d51c9cf1p+104
-0x1.18f27890709a0a3cc63035d4fa3dp+109,-0x1.d0406edc852e348ac807b5bc8576p+110
0x1.26d3c3ba13df5b89f3dd73d5b4f7p+116,0x1.49fc92db605c11a07ad95ba73ed5p+112
-0x1.38d254dbef4c6f6fa62adeecd497p+120,0x1.51f4a82e0be8f7db6a073425c06cp+121
-0x1.52abb1b4f6f23776da764ed3aaf3p+126,-0x1.5aa656528331da6f2ea62e8e226dp+126
0x1.2a5ef47af8b2709c31d503633ca3p+132,-0x1.0382d79ee34ce80d5546b9f1e653p+131
0x1.5053413266812acea6367cb611cbp+133,0x1.c1d81f305af3b74d660f5b7b48c2p+137
-0x1.30fe92abf1b091189120d73a449ap+143,-0x1.8ff320e50520a3d4b2fd354868ebp+141
0x1.28203c9a2b3fb0668a6d0e6acf15p+148,-0x1.6e00c25512b09c1600e39466f030p+148
0x1.652c587f514655d03a4962a915a4p+153,0x1.32d4bb4814a7ab76b1bc460ac0e7p+154
-0x1.0f60aa479725ee8ca22d8166cdf3p+160,0x1.66956d87d69f1383a72b7800d4d2p+157
0x1.5b39e95d4cb7bb7492dbc97950aep+163,-0x1.ace13a492f7014940a7b5e336c80p+165
0x1.2dfa9282cb77e168a1ab677b0986p+171,0x1.7d3fca3b595d9a4ed1561f75ec95p+170
-0x1.ddd15c94f30344694b874e0e5c48p+176,0x1.67001d009baa5e6064e0199b588ep+176
-0x1.1c3da5434d4f9455fee84df6b4f6p+181,-0x1.ec5def08542f817b2cc92ec40b45p+182
0x1.c07eacd1b19d9798d4ad8fd5951fp+188,0x1.28087ee8f9452a1a08924375f82ep+185
-0x1.5cb1316417377ac6f9cdd77ac3bbp+193,0x1.6cfaf90ef3511bebbbf1bf2aa133p+194
-0x1.00b8f37d30d96a99fcde4a331aa4p+200,-0x1.0d1ad393bd9fdc627bb89e425458p+200
0x1.4242392582dfb979fb8c5f5ec8f9p+206,-0x1.0f67c5631e396cd93bd8ce6eff80p+205
0x1.7b37328dbbb3d9f3b4132dbcd450p+207,0x1.4fc3669435bd4862a9a8d63258dep+212
-0x1.382ea7eabaecde27540844df8c43p+218,-0x1.a8ebe710c24aa1e9dacf4216c296p+216
0x1.a55e6377034f384cca9900e76aeep+223,-0x1.fd3d30d60fcdbd3bcee8238c07adp+223
0x1.4dbfb67ea5f4034546ccda6a42d6p+229,0x1.25fa467d233b01110e4231326b02p+230
-0x1.5ca1c334be8b59ffcd59c87de61fp+236,0x1.ae355908a82c0dd774729cecdbcfp+233
0x1.39504ec223629e01973d0d10ec59p+240,-0x1.6f247000c726c4d5887576702ed9p+242
0x1.5620521ec6211e9bed536b8c1eb8p+248,0x1.b9e5ed0d71ea9f1d1452bd7a89d2p+247
-0x1.6ab7f6a2b963496e932a8f70a657p+254,0x1.0ac658c4816c21deb0b92269b5cap+254
-0x1.0f6d18b94ec60f0f05867fae1280p+259,-0x1.e898dd161124dc1eb55b6c7940cdp+260
0x1.218e7845f05e84a68673113b99a6p+267,0x1.acbdaa966cdbcd16d481a6fd1222p+263
-0x1.2ab5fb1e8e93f82c10a0ece569bbp+272,0x1.30e8764a61e74b2a0a06772fb15ep+273
-0x1.139f08b2af2d2d042b632946ded1p+279,-0x1.269be2c33fbbd1bc8dd600435a60p+279
0x1.c34ca9369104127de65064ee8253p+285,-0x1.71e05da59e77a14108dc4f04cb9dp+284
0x1.edaf0cad0a62ec1648ac245f5ad0p+286,0x1.2bc01b57bb60bd078831c6c82b7bp+292
-0x1.61bf414b6cb240bc4363d32f36a9p+298,-0x1.f07cd0ce9284b285d68c7ab5c164p+296
0x1.332d648209923b856fa3597edb65p+304,-0x1.6c390e226980a6426d0054cb9e4cp+304
0x1.2acdc3a54a310415f4f1e0a9b3d0p+310,0x1.0cff0ae3d598c6623d98071eea0bp+311
-0x1.8f9f0d54e5326f2333398976616dp+317,0x1.cef4df73e0c6b1840713a8edd534p+314
0x1.d47b45acd796cd677f7f390658f9p+321,-0x1.06aacf6e7d52c1bb732fdde93274p+324
0x1.303410cd3cb85b52dcd8449ba656p+330,0x1.90ce3003fb73bcbe5bde0e2bb1dap+329
-0x1.95f58f9049bd79efb0be01456b7bp+336,0x1.24f690945284f2c2c56b7e266266p+336
-0x1.69b5715b0b4079acb29544e6d24ap+341,-0x1.5144c9a7bb376ef1c98e1233c4abp+343
0x1.ebc8ce3ae16aebc06c8c1f7c8943p+349,0x1.8f832af633021c3af0d86c8985c2p+346
-0x1.3df6770f49c4588893b3166bed26p+355,0x1.3d6766729cacf3ab40cb724b0596p+356
