-0x1.e156639787b2653cffb42c0b891bp-1,0x1.4524bdc8378e2dc167814d8add08p-7
-0x1.61a48c00e9caf5a9f31af401941bp-5,-0x1.0e3382a1200c6c0f7f9bf0691a2ep-9
-0x1.741fe2d87bb0581271daab7d569ep-6,-0x1.0bebbbe65e477f3d0677a60b169ep-7
-0x1.5955fa13be088d1f848a5196045bp-6,-0x1.9bbfdd6aed270e3ad6d7891aec3bp-7
-0x1.cf7ecfc902d672147f3a80ab2ea3p-6,-0x1.73be4a818500065acc37a5c3c462p-6
-0x1.9a9696a51751b370d62a6116b2aep-5,-0x1.96870c9b2319ba7846747587ea48p-5
-0x1.c72cb76df54fb6ac47c42a335fe7p-4,-0x1.0900211ec4539a59b9a119c7d0a2p-3
-0x1.30b888e778260590ee01b0d80519p-2,-0x1.9410bece92ccfa90001ca78b0a44p-2
-0x1.e03d1a9627bd1407902df1dad401p-1,-0x1.6238d0b4cae52044fc23c51b3e19p+0
-0x1.b4b45db0d2aed27576e5c9170cf9p+1,-0x1.5ffc6c4d4d01bc3307b6c217500fp+2
-0x1.c3118215727eebd81eb4dcc864c9p+3,-0x1.87b654f2d9c07a7f237291e0a19ap+4
-0x1.052c6a54ac0cc625d5361f25f051p+6,-0x1.e33ef8982a1a63300e5767a18b22p+6
-0x1.4f66ba9f7fcc681a8db32c726478p+8,-0x1.4793b27018dbdd7d2523eacb56c8p+9
-0x1.d942377ea282077800cf2db4907ep+10,-0x1.e465f6b31b34e8dda5cda0d7f8d5p+11
-0x1.6bf7ff8dd666aaa76645e1094591p+13,-0x1.841aa6cc171ede72fbb723d5b843p+14
-0x1.2f1082ad2ed440b20eb186a6181ep+16,-0x1.4f0d089a9f578d588b4798371132p+17
-0x1.0f9d7c5e9c22230a4e5090fa530cp+19,-0x1.361d1fe6541280cffd7cd7445281p+20
-0x1.04ac58517503dd45231f0db0b925p+22,-0x1.3261bb1616b92486f77f046076c1p+23
-0x1.0ab2285355487d81baa0034be7b4p+25,-0x1.41d6221003f4a779746f4be6e051p+26
-0x1.21bc62a3bcd66f410c52fb7fe90cp+28,-0x1.663215db30c864e43553808b933bp+29
-0x1.4d12c3a3cfa110c7ef58a26376efp+31,-0x1.a512c0ab7e20d516720bdc133198p+32
-0x1.93e84170cd9b47c1fabd9f286351p+34,-0x1.04abb96628a8423a95f0d5cf2a1ap+36
